genre,artist,track,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53,week_54,week_55,week_56,week_57,week_58,week_59,week_60,week_61,week_62,week_63,week_64,week_65,week_66,week_67,week_68,week_69,week_70,week_71,week_72,week_73,week_74,week_75,week_76
Pop,Blaque,Bring It All To Me,73.0,63.0,50.0,42.0,24.0,19.0,17.0,14.0,11.0,9.0,9.0,9.0,10.0,5.0,5.0,6.0,8.0,9.0,15.0,15.0,18.0,17.0,18.0,19.0,19.0,22.0,26.0,32.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop,"Fabian, Lara",I Will Love Again,91.0,80.0,75.0,61.0,60.0,52.0,45.0,40.0,36.0,32.0,37.0,45.0,68.0,80.0,80.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop,Hoku,Another Dumb Blonde,69.0,49.0,49.0,34.0,34.0,34.0,30.0,27.0,36.0,41.0,53.0,56.0,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop,M2M,Don't Say You Love Me,72.0,53.0,62.0,46.0,54.0,44.0,44.0,21.0,64.0,92.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop,M2M,Mirror Mirror,87.0,87.0,94.0,91.0,75.0,68.0,65.0,86.0,62.0,70.0,74.0,70.0,70.0,80.0,82.0,87.0,90.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop,"Moore, Mandy",I Wanna Be With You,69.0,63.0,54.0,50.0,45.0,42.0,31.0,28.0,24.0,34.0,42.0,53.0,65.0,66.0,77.0,94.0,99.0,,,,,93.0,91.0,91.0,90.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop,"Simpson, Jessica",I Think I'm In Love With You,63.0,52.0,44.0,29.0,25.0,23.0,21.0,21.0,21.0,27.0,38.0,38.0,57.0,74.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),91.0,87.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Baha Men,Who Let The Dogs Out,99.0,92.0,85.0,76.0,65.0,54.0,61.0,58.0,54.0,54.0,53.0,53.0,43.0,40.0,44.0,41.0,51.0,65.0,78.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Bloodhound Gang,The Bad Touch,70.0,62.0,55.0,55.0,52.0,57.0,72.0,80.0,82.0,92.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,"Carter, Aaron",Aaron's Party (Come Get It),99.0,75.0,57.0,35.0,35.0,37.0,43.0,79.0,51.0,55.0,67.0,83.0,86.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,D'Angelo,Left & Right,93.0,77.0,75.0,70.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,D'Angelo,Untitled (How Does It Feel),77.0,56.0,35.0,26.0,25.0,25.0,28.0,28.0,31.0,35.0,39.0,44.0,51.0,60.0,73.0,79.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Fragma,Toca's Miracle,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Ghostface Killah,Cherchez LaGhost,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Guy,Dancin',46.0,29.0,19.0,22.0,36.0,44.0,58.0,58.0,68.0,75.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Ideal,Whatever,75.0,75.0,67.0,73.0,64.0,56.0,54.0,54.0,54.0,48.0,47.0,50.0,60.0,68.0,73.0,81.0,92.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,J-Shin,One Night Stand,96.0,96.0,69.0,74.0,72.0,62.0,49.0,45.0,38.0,34.0,38.0,45.0,47.0,58.0,68.0,88.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Kelis,Caught Out There,84.0,68.0,67.0,63.0,63.0,54.0,56.0,59.0,68.0,67.0,75.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Kumbia Kings,U Don't Love Me,81.0,64.0,62.0,67.0,70.0,70.0,75.0,87.0,89.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,"Larrieux, Amel",Get Up,100.0,97.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,"Levert, Gerald",Baby U Are,96.0,89.0,92.0,96.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,"Levert, Gerald",Mr. Too Damn Good,84.0,83.0,83.0,76.0,86.0,86.0,88.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Lucy Pearl,Dance Tonight,80.0,75.0,63.0,59.0,55.0,49.0,42.0,42.0,40.0,40.0,36.0,43.0,46.0,54.0,72.0,84.0,84.0,86.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Nas,You Owe Me,74.0,72.0,68.0,59.0,59.0,59.0,67.0,67.0,63.0,69.0,75.0,82.0,79.0,88.0,95.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Nu Flavor,3 Little Words,97.0,97.0,89.0,89.0,94.0,90.0,99.0,97.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Profyle,Liar,52.0,32.0,25.0,17.0,16.0,16.0,14.0,19.0,24.0,33.0,35.0,43.0,54.0,61.0,69.0,75.0,86.0,81.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,Splender,I Think God Can Explain,71.0,66.0,62.0,62.0,62.0,64.0,65.0,71.0,81.0,89.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,"Stone, Angie",No More Rain (In This Cloud),86.0,86.0,74.0,66.0,56.0,60.0,56.0,60.0,67.0,69.0,63.0,73.0,71.0,81.0,89.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&B,"Wright, Chely",It Was,86.0,78.0,75.0,72.0,71.0,69.0,64.0,75.0,85.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,2 Pac,Baby Don't Cry (Keep Ya Head Up II),87.0,82.0,72.0,77.0,87.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,504 Boyz,Wobble Wobble,57.0,34.0,25.0,17.0,17.0,31.0,36.0,49.0,53.0,57.0,64.0,70.0,75.0,76.0,78.0,85.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Big Punisher,It's So Hard,96.0,87.0,75.0,79.0,81.0,81.0,76.0,76.0,78.0,84.0,90.0,88.0,94.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Black Rob,Whoa!,78.0,59.0,53.0,52.0,47.0,46.0,43.0,47.0,47.0,58.0,54.0,57.0,70.0,85.0,84.0,93.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Cam'ron,What Means The World To You,94.0,94.0,96.0,91.0,84.0,83.0,88.0,87.0,95.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Common,The Light,75.0,55.0,53.0,49.0,46.0,44.0,49.0,51.0,51.0,56.0,52.0,56.0,70.0,82.0,86.0,89.0,93.0,93.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,DMX,Party Up (Up In Here),88.0,74.0,62.0,56.0,49.0,44.0,38.0,32.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,33.0,35.0,42.0,44.0,46.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,DMX,What You Want,98.0,95.0,95.0,87.0,86.0,79.0,62.0,60.0,58.0,57.0,52.0,55.0,49.0,57.0,62.0,65.0,87.0,89.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,DMX,What's My Name,98.0,76.0,69.0,69.0,67.0,73.0,76.0,90.0,90.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Da Brat,That's What I'm Looking For,93.0,73.0,60.0,60.0,60.0,60.0,63.0,56.0,58.0,70.0,71.0,72.0,90.0,94.0,94.0,94.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Da Brat,What'Chu Like,71.0,65.0,54.0,54.0,51.0,41.0,41.0,33.0,28.0,31.0,26.0,28.0,36.0,39.0,49.0,58.0,62.0,65.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,De La Soul,All Good?,96.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Dr. Dre,Forgot About Dre,75.0,55.0,47.0,36.0,36.0,30.0,30.0,31.0,26.0,25.0,25.0,26.0,26.0,28.0,34.0,47.0,58.0,68.0,80.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Dr. Dre,The Next Episode,78.0,67.0,58.0,53.0,46.0,41.0,32.0,27.0,26.0,23.0,26.0,27.0,32.0,32.0,44.0,46.0,47.0,50.0,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Drama,"Left, Right, Left",100.0,98.0,89.0,80.0,75.0,73.0,80.0,86.0,91.0,96.0,100.0,98.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Eastsidaz, The",G'D Up,77.0,77.0,89.0,64.0,57.0,47.0,47.0,55.0,65.0,69.0,83.0,82.0,90.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Eastsidaz, The",Got Beef,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Elliott, Missy ""Misdemeanor""",Hot Boyz,36.0,21.0,13.0,9.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,11.0,7.0,10.0,11.0,12.0,15.0,17.0,23.0,30.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Eminem,Stan,78.0,67.0,57.0,57.0,51.0,51.0,51.0,57.0,55.0,70.0,69.0,77.0,88.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Eminem,The Real Slim Shady,70.0,32.0,20.0,16.0,11.0,7.0,6.0,4.0,5.0,4.0,8.0,9.0,16.0,30.0,49.0,68.0,83.0,88.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Eminem,The Way I Am,87.0,74.0,59.0,65.0,59.0,58.0,59.0,62.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Eve,Got It All,89.0,88.0,88.0,91.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Eve,Love Is Blind,94.0,91.0,57.0,46.0,46.0,40.0,34.0,39.0,42.0,46.0,50.0,59.0,66.0,78.0,87.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Funkmaster Flex,Do You,92.0,92.0,95.0,91.0,91.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Hill, Faith",Breathe,81.0,68.0,62.0,51.0,42.0,35.0,28.0,28.0,28.0,43.0,30.0,23.0,23.0,21.0,21.0,21.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,8.0,11.0,13.0,14.0,18.0,22.0,23.0,22.0,24.0,30.0,31.0,31.0,38.0,39.0,42.0,49.0,49.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Hill, Faith",Let's Make Love,83.0,83.0,73.0,73.0,67.0,60.0,60.0,60.0,57.0,55.0,54.0,69.0,88.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Hot Boys,I Need A Hot Girl,77.0,75.0,71.0,65.0,65.0,70.0,69.0,77.0,79.0,90.0,92.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,IMx,Stay The Night,84.0,61.0,45.0,43.0,40.0,38.0,36.0,31.0,34.0,34.0,40.0,36.0,36.0,23.0,41.0,62.0,70.0,71.0,79.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Ice Cube,You Can Do It,86.0,66.0,50.0,42.0,42.0,40.0,35.0,46.0,45.0,54.0,73.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Ja Rule,Between Me And You,85.0,74.0,61.0,37.0,27.0,22.0,22.0,16.0,14.0,11.0,11.0,14.0,17.0,18.0,18.0,21.0,30.0,30.0,42.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Jay-Z,Anything,72.0,58.0,55.0,55.0,63.0,74.0,86.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Jay-Z,Big Pimpin',69.0,52.0,39.0,33.0,28.0,25.0,25.0,23.0,20.0,19.0,21.0,18.0,20.0,20.0,26.0,29.0,35.0,33.0,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Jay-Z,Do It Again (Put Ya Hands Up),95.0,68.0,65.0,65.0,74.0,84.0,92.0,96.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Jay-Z,Hey Papi,98.0,100.0,98.0,94.0,83.0,83.0,80.0,78.0,76.0,77.0,85.0,91.0,93.0,88.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Jay-Z,I Just Wanna Love U (Give It 2 Me),58.0,45.0,35.0,26.0,23.0,19.0,14.0,14.0,13.0,11.0,12.0,12.0,12.0,15.0,15.0,19.0,24.0,28.0,29.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Jean, Wyclef",911,77.0,74.0,64.0,61.0,53.0,48.0,43.0,38.0,42.0,38.0,44.0,49.0,53.0,61.0,66.0,68.0,80.0,85.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Jordan, Montell",Get It On.. Tonite,92.0,80.0,72.0,69.0,67.0,61.0,54.0,43.0,38.0,24.0,24.0,20.0,19.0,15.0,15.0,5.0,4.0,4.0,7.0,10.0,5.0,9.0,9.0,7.0,9.0,10.0,10.0,15.0,18.0,23.0,30.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Juvenile,U Understand,85.0,83.0,100.0,98.0,97.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,LL Cool J,Imagine That,99.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Lil Bow Wow,Bounce With Me,48.0,35.0,24.0,24.0,20.0,20.0,20.0,20.0,22.0,27.0,27.0,36.0,40.0,53.0,61.0,69.0,80.0,90.0,99.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Lil Wayne,Tha Block Is Hot,99.0,89.0,92.0,84.0,84.0,72.0,81.0,81.0,86.0,87.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Lil' Kim,How Many Licks?,79.0,75.0,77.0,86.0,86.0,89.0,,,96.0,96.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Lil' Kim,No Matter What They Say,80.0,72.0,67.0,60.0,65.0,73.0,81.0,86.0,90.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Lil' Mo,Ta Da,100.0,99.0,97.0,97.0,100.0,95.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Lil' Zane,Callin' Me,83.0,89.0,57.0,40.0,34.0,21.0,33.0,46.0,45.0,59.0,67.0,84.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Lox,"Ryde or Die, Chick",86.0,73.0,80.0,84.0,91.0,97.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Ludacris,What's Your Fantasy,89.0,83.0,63.0,55.0,49.0,40.0,33.0,32.0,30.0,25.0,22.0,21.0,24.0,24.0,24.0,27.0,25.0,34.0,32.0,35.0,41.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Master P,Souljas,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Musiq,Just Friends (Sunny),89.0,83.0,65.0,55.0,54.0,54.0,52.0,44.0,41.0,34.0,32.0,31.0,35.0,34.0,41.0,41.0,48.0,54.0,58.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Mystikal,Shake Ya Ass,97.0,90.0,65.0,41.0,34.0,25.0,22.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,17.0,19.0,24.0,30.0,42.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Nelly,(Hot S**t) Country Grammar,100.0,99.0,96.0,76.0,55.0,37.0,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Puff Daddy,Best Friend,65.0,59.0,62.0,79.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Sheist, Shade",Where I Wanna Be,96.0,95.0,99.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Shyne,Bad Boyz,94.0,87.0,90.0,90.0,82.0,67.0,61.0,57.0,71.0,78.0,74.0,81.0,88.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,"Smith, Will",Freakin' It,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Trick Daddy,Shut Up,99.0,95.0,87.0,87.0,83.0,83.0,89.0,87.0,92.0,92.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Trina,Pull Over,97.0,93.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,Ying Yang Twins,Whistle While You Twurk,95.0,94.0,91.0,85.0,84.0,78.0,74.0,78.0,85.0,89.0,97.0,96.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggae,Beenie Man,Girls Dem Sugar,72.0,72.0,63.0,56.0,62.0,63.0,54.0,60.0,69.0,75.0,84.0,92.0,85.0,84.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,3 Doors Down,Kryptonite,81.0,70.0,68.0,67.0,66.0,57.0,54.0,53.0,51.0,51.0,51.0,51.0,47.0,44.0,38.0,28.0,22.0,18.0,18.0,14.0,12.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,9.0,9.0,15.0,14.0,13.0,14.0,16.0,17.0,21.0,22.0,24.0,28.0,33.0,42.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,
Rock,3 Doors Down,Loser,76.0,76.0,72.0,69.0,67.0,65.0,55.0,59.0,62.0,61.0,61.0,59.0,61.0,66.0,72.0,76.0,75.0,67.0,73.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,98¡,Give Me Just One Night (Una Noche),51.0,39.0,34.0,26.0,26.0,19.0,2.0,2.0,3.0,6.0,7.0,22.0,29.0,36.0,47.0,67.0,66.0,84.0,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,Aaliyah,I Don't Wanna,84.0,62.0,51.0,41.0,38.0,35.0,35.0,38.0,38.0,36.0,37.0,37.0,38.0,49.0,61.0,63.0,62.0,67.0,83.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,Aaliyah,Try Again,59.0,53.0,38.0,28.0,21.0,18.0,16.0,14.0,12.0,10.0,9.0,8.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,9.0,13.0,14.0,16.0,23.0,22.0,33.0,36.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,"Aguilera, Christina",Come On Over Baby (All I Want Is You),57.0,47.0,45.0,29.0,23.0,18.0,11.0,9.0,9.0,11.0,1.0,1.0,1.0,1.0,4.0,8.0,12.0,22.0,23.0,43.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,"Aguilera, Christina",I Turn To You,50.0,39.0,30.0,28.0,21.0,19.0,20.0,17.0,17.0,17.0,17.0,3.0,3.0,7.0,10.0,17.0,25.0,29.0,29.0,40.0,43.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,"Aguilera, Christina",What A Girl Wants,71.0,51.0,28.0,18.0,13.0,13.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,12.0,11.0,13.0,15.0,18.0,20.0,30.0,40.0,39.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
